id,name,category,calories,proteins,carbs,fats
1,Kiwi,Fruits,0.0,3536.5,51335.0,1955.0
2,Onion,Vegetables,0.0,8647.0,43560.0,1853.95
3,Chives,Herbs and Spices,0.0,18400.0,35250.0,3900.0
4,Cashew,Nuts,0.0,3550.0,53733.9,2500.0
5,Pineapple,Fruits,0.0,2950.0,52700.0,2188.6
6,Dill,Herbs and Spices,0.0,20780.0,58010.0,4500.0
7,Custard Apple,Fruits,0.0,5035.0,53450.0,1150.0
8,Celery,Herbs and Spices,0.0,0.0,36064.0,2165.0
9,Groundnut,Nuts,0.0,12450.0,42100.0,1700.0
10,Burdock,Vegetables,0.0,8607.5,52900.0,16500.0
11,Horseradish,Herbs and Spices,0.0,0.0,46900.0,700.0
12,Tarragon,Herbs and Spices,0.0,23750.45,0.0,38100.0
13,Mugwort,Herbs and Spices,0.0,23072.5,19966.5,3550.0
14,Asparagus,Vegetables,0.0,0.0,31900.0,0.0
15,Oats,Cereals and cereal products,389.0,16890.0,66270.0,2900.0
16,Carambola,Fruits,0.0,3800.0,50150.0,2640.0
17,Brazilnut,Nuts,0.0,14596.0,13021.45,67459.5
18,Beebread,Herbs and Spices,0.0,13770.0,23409.0,5350.0
19,Mustard Greens,Vegetables,0.0,16795.0,0.0,7535.0
20,Brussel-Sprout,Vegetables,0.0,14129.0,36467.2,1528.0
21,Kohlrabi,Vegetables,0.0,9995.0,37395.0,605.5
22,Asparagus Broccoli,Vegetables,0.0,0.0,0.0,0.0
23,Pigeonpea,Pulses,0.0,15700.0,48200.0,1300.0
24,Tea,Teas,0.0,22750.0,56300.0,9250.0
25,Caper,Herbs and Spices,0.0,13800.0,53700.0,470.0
26,Bell Pepper,Vegetables,0.0,9600.0,43305.0,7300.0
27,Papaya,Fruits,0.0,3118.5,54300.0,1149.0
28,Safflower,Herbs and Spices,0.0,14800.0,79200.0,6300.0
29,Caraway,Herbs and Spices,0.0,20526.05,52650.0,15191.3
30,Garden Camomile,Herbs and Spices,0.0,11500.0,78500.0,3900.0
31,Chickpea,Pulses,0.0,20550.0,64615.0,6437.5
32,Endive,Vegetables,0.0,11065.0,28647.6,1710.0
33,Chicory,Vegetables,0.0,12800.0,34300.0,1500.0
34,Canela de la China (Sp.),Herbs and Spices,0.0,4300.0,85600.0,3500.0
35,Ceylon Cinnamon,Herbs and Spices,0.0,3900.0,0.0,1400.0
36,Watermelon,Gourds,0.0,5050.0,43140.0,4460.0
37,Lime,Fruits,0.0,3450.0,47745.0,1435.0
38,Lemon,Fruits,0.0,6050.0,48700.0,2800.0
39,Mandarin,Fruits,0.0,4317.9,50195.7,1195.0
40,Orange,Fruits,0.0,4363.0,49306.25,855.0
41,Coffee,Coffee and coffee products,0.0,9900.0,68900.0,5700.0
